Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
34840184,The Perfect Couple,Elin Hilderbrand,"Hilderbrand, Elin",,,9780316375245,5,3.95,"Little, Brown and Company",ebook,480,2018,2018,,1/20/2021,,,read,,,,1,,,0,,,,,
35143909,Sword Song (The Isle of Destiny #2),Tricia O'Malley,"O'Malley, Tricia",,,,4,4.38,Lovewrite Publishing,Kindle Edition,253,2017,2017,10/24/2020,10/10/2020,,,read,,,,1,,,0,,,,,
36329450,Spear Song (The Isle of Destiny #3),Tricia O'Malley,"O'Malley, Tricia",,,,4,4.47,,Kindle Edition,216,2017,2017,10/27/2020,10/18/2020,,,read,,,,1,,,0,,,,,
39081020,Sphere Song (The Isle of Destiny #4),Tricia O'Malley,"O'Malley, Tricia",,,,4,4.58,,Kindle Edition,306,2018,2018,11/18/2020,10/18/2020,,,read,,,,1,,,0,,,,,
37584991,"The Proposal (The Wedding Date, #2)",Jasmine Guillory,"Guillory, Jasmine",,0399587683,9780399587689,4,3.47,Berkley Books,Paperback,325,2018,2018,2/22/2020,2/4/2020,,,read,,,,1,,,0,,,,,
34565022,Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,Brené Brown,"Brown, Brené",,0812995848,9780812995848,4,4.13,Random House,Hardcover,208,2017,2017,2/22/2020,2/4/2020,,,read,,,,1,,,0,,,,,
40597810,Daisy Jones & The Six,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,1524798622,9781524798628,4,4.2,Ballantine Books,Hardcover,355,2019,2019,,2/4/2020,,,read,,,,1,,,0,,,,,
836984,Distant Shores,Kristin Hannah,"Hannah, Kristin",,0345450728,9780345450722,5,3.71,Ballantine Books,Mass Market Paperback,416,2003,2002,,2/26/2017,,,read,,,,1,,,0,,,,,
24819476,"Winter Stroll (Winter, #2)",Elin Hilderbrand,"Hilderbrand, Elin",,0316261130,9780316261135,4,3.81,"Little, Brown and Company",Hardcover,263,2015,2015,,2/26/2017,,,read,,,,1,,,0,,,,,
415378,The Love Season,Elin Hilderbrand,"Hilderbrand, Elin",,0312322305,9780312322304,5,3.64,St. Martin's Press,Hardcover,304,2006,2006,,2/26/2017,,,read,,,,1,,,0,,,,,
217432,Between Sisters,Kristin Hannah,"Hannah, Kristin",,0345450744,9780345450746,5,4.02,Ballantine Books,Paperback,428,2004,2003,,2/26/2017,,,read,,,,1,,,0,,,,,
276342,Angel Falls,Kristin Hannah,"Hannah, Kristin",,0345484274,9780345484277,5,3.89,Ballantine Books,Paperback,400,2005,2000,,2/26/2017,,,read,,,,1,,,0,,,,,
28962891,"Winter Storms (Winter, #3)",Elin Hilderbrand,"Hilderbrand, Elin",,0316261173,9780316261173,4,3.88,"Little, Brown and Company",Hardcover,246,2016,2016,,1/17/2018,,,read,,,,1,,,0,,,,,
2258956,"A Rather Curious Engagement (Penny Nichols, #2)",C.A. Belmond,"Belmond, C.A.",,0451224051,9780451224057,5,3.81,Berkley Books,Paperback,363,2008,2008,,2/18/2018,,,read,,,,1,,,0,,,,,
248889,"A Rather Lovely Inheritance (Penny Nichols, #1)",C.A. Belmond,"Belmond, C.A.",,0451220528,9780451220523,5,3.67,Berkley Books,Paperback,376,2007,2007,,2/18/2018,,,read,,,,1,,,0,,,,,
6606453,"A Rather Charming Invitation (Penny Nichols, #3)",C.A. Belmond,"Belmond, C.A.",,0451229088,9780451229083,5,3.97,Berkley Books,Paperback,433,2010,2010,,2/18/2018,,,read,,,,1,,,0,,,,,
10723355,"A Rather Remarkable Homecoming (Penny Nichols, #4)",C.A. Belmond,"Belmond, C.A.",,0451234618,9780451234612,5,4,Berkley Books,Paperback,368,2011,2011,,2/18/2018,,,read,,,,1,,,0,,,,,
34912895,The Great Alone,Kristin Hannah,"Hannah, Kristin",,,,5,4.35,St. Martin's Press,Kindle Edition,435,2018,2018,,2/27/2018,,,read,,,,1,,,0,,,,,
30821598,My Not So Perfect Life,Sophie Kinsella,"Kinsella, Sophie",,0593074793,9780593074794,5,3.8,Bantam Press,Paperback,448,2017,2017,,10/21/2018,,,read,,,,1,,,0,,,,,
36212848,The Other Woman,Sandie Jones,"Jones, Sandie",,125019198X,9781250191984,4,3.76,Minotaur Books,Hardcover,304,2018,2018,,12/7/2018,,,read,,,,1,,,0,,,,,
13335037,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,0062024035,9780062024039,4,4.18,Katherine Tegen Books,Paperback,487,2012,2011,,7/14/2016,,,read,,,,1,,,0,,,,,
11735983,"Insurgent (Divergent, #2)",Veronica Roth,"Roth, Veronica",,0007442912,9780007442911,4,4.01,HarperCollins Children's Books,Hardcover,525,2012,2012,,7/14/2016,,,read,,,,1,,,0,,,,,
15507958,"Me Before You (Me Before You, #1)",Jojo Moyes,"Moyes, Jojo",,0670026603,9780670026609,5,4.26,Pamela Dorman Books/Viking,Hardcover,369,2012,2012,,9/26/2016,,,read,,,,1,,,0,,,,,
25041504,"After You (Me Before You, #2)",Jojo Moyes,"Moyes, Jojo",,,,4,3.73,Pamela Dorman Books,Kindle Edition,353,2015,2015,,1/7/2017,,,read,,,,1,,,0,,,,,
23341607,The Rumor,Elin Hilderbrand,"Hilderbrand, Elin",,0316334529,9780316334525,5,3.73,"Little, Brown and Company",Hardcover,370,2015,2015,1/17/2018,2/26/2017,,,read,,,,1,,,0,,,,,
27161845,Here's to Us,Elin Hilderbrand,"Hilderbrand, Elin",,0316375144,9780316375146,5,3.75,"Little, Brown and Company",Hardcover,410,2016,2016,,2/26/2017,,,read,,,,1,,,0,,,,,
20706316,"Winter Street (Winter, #1)",Elin Hilderbrand,"Hilderbrand, Elin",,0316376116,9780316376112,4,3.78,"Little, Brown and Company",Hardcover,249,2014,2014,,2/26/2017,,,read,,,,1,,,0,,,,,
284195,Nantucket Nights,Elin Hilderbrand,"Hilderbrand, Elin",,0312989768,9780312989767,5,3.63,St. Martin's Paperbacks,Mass Market Paperback,326,2003,2002,,2/26/2017,,,read,,,,1,,,0,,,,,
1239882,The Beach Club,Elin Hilderbrand,"Hilderbrand, Elin",,031226125X,9780312261252,5,3.8,St. Martin's Press,Hardcover,357,2000,2000,,2/26/2017,,,read,,,,1,,,0,,,,,
21853621,The Nightingale,Kristin Hannah,"Hannah, Kristin",,0312577222,9780312577223,5,4.57,St. Martin's Press,Hardcover,440,2015,2015,,10/7/2014,,,read,,,,1,,,0,,,,,
18144115,All Fall Down,Jennifer Weiner,"Weiner, Jennifer",,145161778X,9781451617788,3,3.63,Atria Books,Hardcover,384,2014,2014,1/7/2017,10/7/2014,,,read,,,,1,,,0,,,,,
54153698,You Have a Match,Emma Lord,"Lord, Emma",,,,5,3.69,,Kindle Edition,309,2021,2021,5/9/2021,5/6/2021,,,read,,,,1,,,0,,,,,
50732413,Summer on the Bluffs (Oak Bluffs #1),Sunny Hostin,"Hostin, Sunny",,0062994174,9780062994172,0,3.99,William Morrow,Hardcover,432,2021,2021,,5/6/2021,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
55070633,This Time Next Year,Sophie Cousens,"Cousens, Sophie",,,,5,3.91,G.P. Putnam's Sons,Kindle Edition,352,2020,2020,5/6/2021,5/2/2021,,,read,,,,1,,,0,,,,,
